Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
58149,26.0290,85.2653,25,84,36,83,false,43497
59340,30.4124,87.6166,31,86,36,84,false,43497
60429,26.4955,87.5706,32,86,35,84,false,43497
61743,26.7147,87.2322,25,87,32,85,false,43497
59149,28.6206,86.5556,27,82,37,81,false,43497
63203,26.2092,85.7037,26,87,38,85,false,43497
62791,28.9840,86.3914,32,87,44,85,false,43497
62461,23.7277,85.5736,27,85,30,82,false,43497
61524,25.7407,86.5676,32,88,32,86,false,43497
62925,22.8418,84.1782,25,82,29,80,false,43497
63719,25.4224,84.6406,28,83,30,78,false,43497
63484,26.5035,87.8709,28,88,39,87,false,43497
60839,28.4184,87.4665,30,86,31,84,false,43497
59614,27.1061,86.7187,26,83,29,84,false,43497
63941,25.1201,87.0430,31,88,36,88,false,43497
63321,25.5155,87.6226,26,88,35,90,false,43497
63228,23.9139,85.1962,28,89,38,87,false,43497
57815,25.8078,84.8829,33,89,37,89,false,43497
66629,24.0440,86.3333,26,88,29,85,false,43497
63853,26.3283,87.1532,26,84,37,84,false,43497
57983,25.0000,84.9409,27,82,30,83,false,43497
67104,25.1131,86.9019,25,85,33,86,false,43497
65492,26.2042,87.5205,24,85,34,85,false,43497
65982,29.8318,87.0601,29,84,38,84,false,43497
64808,24.5295,85.9790,28,83,32,82,false,43497
62509,28.3574,88.4414,28,88,36,87,false,43497
59613,26.0420,85.4194,27,84,36,85,false,43497
59921,28.1792,88.0430,29,85,43,86,false,43497
60182,25.0511,84.6206,24,83,33,83,false,43497
64006,28.4545,87.8088,30,90,34,88,false,43497
59814,25.4104,84.7558,29,87,35,84,false,43497
67134,24.6877,86.9550,21,86,33,84,false,43497
62379,25.0460,83.0821,25,85,36,84,false,43497
60239,25.3443,85.0951,26,84,35,82,false,43497
65363,23.7848,84.7347,26,82,33,79,false,43497
59945,24.0130,86.0891,20,85,32,83,false,43497
62218,27.3083,87.2492,31,88,35,85,false,43497
59379,27.0501,85.2943,28,86,35,83,false,43497
60174,26.1341,85.5876,25,87,36,85,false,43497
62012,26.0701,87.0460,34,88,36,87,false,43497
57853,25.2603,87.5976,25,87,35,84,false,43497
61320,26.6466,85.5736,22,83,29,84,false,43497
61541,25.2793,86.6947,24,82,30,83,false,43497
62425,26.4605,88.5676,28,86,32,85,false,43497
62986,23.6817,83.7087,24,82,33,81,false,43497
57771,28.1932,86.8819,34,86,32,81,false,43497
64046,21.7868,83.8519,26,80,28,79,false,43497
63110,25.5626,85.0681,25,85,30,82,false,43497
58178,26.6136,83.8238,29,79,37,82,false,43497
58625,27.3684,84.6356,31,83,37,81,false,43497
64229,25.1562,86.1141,33,83,34,83,false,43497
59512,28.0450,87.0741,33,88,38,86,false,43497
62358,26.7858,87.7688,33,87,35,85,false,43497
60109,27.0791,86.3233,19,85,38,82,false,43497
59469,27.5516,87.6867,35,86,45,85,false,43497
61577,21.8018,81.8529,23,81,27,77,false,43497
62890,24.5716,85.0641,25,80,33,82,false,43497
65380,21.5996,87.6276,26,86,29,87,false,43497
57051,27.0360,86.0420,28,86,40,84,false,43497
57657,26.4434,84.9109,31,85,37,81,false,43497
57706,28.5946,87.1922,28,87,36,86,false,43497
